tests,version,chain_strength,running_time,optimality_gap,0no,3no,time_to_solution
20,100_4,41.68214217184131,24.60100507736206,0.0,0.872,0.931,47.04353607469662
40,100_4,50.17320148792079,46.8532178401947,0.0,0.181,0.905,484.33913486237896
60,100_4,35.80585369127807,94.91352820396423,0.0,0.043,0.236,2200.3281165464873
80,100_4,71.38399674418346,88.21811604499817,0.0,0.016,0.339,5995.801595259736
100,100_4,42.961782811671625,149.8524045944214,0.0,0.012,0.28,8010.596245253069
20,50_4,34.84654325106654,14.997389078140259,0.0,0.925,0.964,37.33536648104976
40,50_4,44.992382624446314,34.83466911315918,0.0,0.116,0.9,784.3469011388407
60,50_4,34.8521522043847,53.028379678726196,0.0,0.05,0.227,1885.4038341749033
80,50_4,50.29289205259883,84.73735737800598,0.0,0.01,0.35,9622.422107621158
100,50_4,40.90289760256844,105.39390993118286,0.0,0.044,0.55,2149.2052235815954
20,dwave,81.46407308255584,0,0.0,0.715,0.837,77.04228928421301
40,dwave,54.75211769968354,0,0.0,0.117,0.885,777.2121915074755
60,dwave,62.210108054345405,0,0.0,0.009,0.083,10696.969953991716
80,dwave,66.04908880824927,0,0.0,0.006,0.217,16069.692864102015
100,dwave,67.21871052437706,0,0.0,0.004,0.189,24128.7568886571
20,200_4,31.569080540681796,57.0618200302124,0.0,0.842,0.912,52.41201901989142
40,200_4,35.72030950199263,168.83513355255127,0.0,0.205,0.901,421.5476221214771
60,200_4,42.73168702502633,239.19857835769653,0.0,0.042,0.264,2253.8850230483913
80,200_4,41.08081032687069,382.5549268722534,0.0,0.016,0.416,5995.801595259736
100,200_4,54.8405226340242,380.5923774242401,0.0,0.02,0.614,4786.911594857674
20,GAC,70.75802074676764,25.00885581970215,0.0,0.696,0.849,81.21805165765066
40,GAC,20.620620747203514,39.51643466949463,0.0,0.007,0.322,13767.099659350213
60,GAC,4.617569105540754,60.603455543518066,0.13247652001977261,0.0,0.0,25000
80,GAC,0.0,154.48619937896729,0.20100502512562812,0.0,0.0,25000
100,GAC,57.735192906926365,327.063316822052,0.0,0.011,0.659,8743.245109411473

